model,MAE,RMSE,MAPE_pct
naive,4.412500000000001,6.65009398429827,4.470263905500891
seasonal_naive,2.860416666666666,3.5730180986573985,2.848899839354525
ridge,2.406407749920064,2.9777007666916577,2.398011809434562
